65.737,   26.019,    -82.1,   80.698,  -10.955,  -49.752,  -56.842,   1.8121,  -20.829,  -101.32,  -66.776,  -1.6073,  -65.074,   21.948,  -58.303,  -14.215,
15.587,   6.8418,  -39.956,  0.90446,   14.429, -0.26694,  -10.185,   15.071,   42.049,  -3.0977,   13.625,   20.059,  -53.992,  -34.901,    13.58,  -3.7285,
-48.54,   -12.55,  -54.657,    30.73,  -20.613,   18.181,  -31.345,   4.7959,  -55.856,  -66.022,    20.97,  -17.281,   6.6659,   -15.22,   11.927,  -27.366,
-5.183,   8.3848,  -29.706,  -8.2135,    10.48,  -5.1236,  -12.206,  -26.508,   16.745,   -26.62,  -35.465,   42.249,  -22.246,    27.88,  -13.215,  -13.241,
32.814,   6.5324,  -12.705,  -58.917,  -31.728,   65.038,   24.141,  -27.419,   -6.679,   21.464,  -41.056,  -21.288,  -33.365,  -15.411,   38.301,  -29.869,
6.7058,   59.099,  -38.058,  -48.214,   42.426,  -5.8865,   2.9733,   10.304,   11.295,  -14.259,   52.017,  -6.8304,  -2.6875,   5.1524,   27.293,   12.111,
54.898,  -42.949,   24.913,  -26.095,  -7.9327,   27.691,   27.908,   37.166,   27.581,  -2.1195,  -9.7351,  -9.3595,  -50.128,  -19.154,   3.0013,   3.5614,
-19.187,    31.11,  -53.439,   17.913,   -41.15,  -28.351,  -3.2634,   15.905,  -16.623,  -18.465,   27.535,  -6.5268,   12.771,  -31.704,   36.094,  -5.9806,
28.938,   63.183,   2.4668,   69.365,  -25.866,  -7.3605,  -9.8172,  -19.509,   -14.94,  -26.164,  -4.9196,  -7.0644,   58.576,  -24.479,  -35.707,  -30.774,
57.152,   41.989,   6.7802,  -27.859,  -97.736,  -26.933,  -8.8505,  -14.729,  -22.112,   14.141, -0.32918,  -16.531,   1.5795,  -30.336,   41.524,   3.8534,
14.448,  -31.696,  -30.303,  -19.003,   42.673,  -70.148,   39.422,   20.058,  -14.039,   39.756,  -40.994,  -8.9235,   47.645,  -61.533,   14.917,  -32.742,
-22.617,    14.05,   31.495,  -21.882,  -7.7977,   45.099,  -48.941,   13.862,  -2.6042,  -18.847,    -29.6,  -4.5874,  -17.044,  -6.0025,  0.21235,   -44.24,
-63.609, -0.90068,   42.221,    50.35,  -21.266,  -33.939,   11.237,   25.273,   39.697,  -2.1292,  0.83106,   17.001,   11.716,   55.829,  -15.741,   29.621,
76.714,  -3.4728,  -31.229,  -25.407,  -14.741,   16.458,   39.092,   5.1645,  -17.937,   -62.78,   31.884,   8.7596,  -13.616,  -4.3106,  -15.548,  -26.173,
-30.385,  -52.924,  -34.118,  -42.281,   22.978,  -21.017,  -24.601,   29.817,  -14.006,   7.9881,   5.1328,   28.221,  -22.329,  -33.007,  -41.905,  -31.669,
-50.464,  -8.6768,    53.09,   27.627,  -55.135,  -34.368,   12.304,  -14.024,   10.225,   39.246,   44.338,  -7.6006,  -2.4896,   -14.78,  -38.443,   38.774,
